Açao, Nota
PETR,2.7
JBSS,2.1
ITUB,4.9
VALE,2.5
BBAS,4
BBDC,4.6
BRDT,3.1
UGPA,3.1
SANB,3.6
CRFB,3.2
PCAR,2
ABEV,4.6
BRKM,2
MRFG,2.3
VIVT,3.3
GGBR,2.1
GOAU,2.3
BRFS,1.7
CPFE,2.9
ELET,2
SUZB,1.9
NEOE,2.9
VVAR,1.8
CSNA,2.1
CMIG,2.6
SULA,3.7
OIBR,1.4
ENGI,2.4
MGLU,4.1
LAME,2.4
EQTL,3.9
PSSA,4.7
SBSP,3.5
RADL,4.5
TIMP,3.2
BEEF,1.3
CPLE,2.4
ENBR,4.4
USIM,1.5
NTCO,2.5
CSAN,3.7
NEMO,1.1
LIGT,1.4
CIEL,3.2
REDE,1.3
BPAC,3
CCRO,2.5
EMBR,2.1
KLBN,2.9
CEEB,1.4
RENT,4
MYPK,3.1
EGIE,4.8
GOLL,1.1
JSLG,2.4
LREN,4.8
CGAS,2.5
BRSR,3.2
GNDI,4.2
BPAN,2.4
CLSC,1.5
GUAR,3.5
WHRL,2.1
AZUL,1.5
RLOG,2.7
RAIL,2.9
COGN,3
EKTR,1.3
BTOW,1.2
IRBR,3.9
BSEV,1
MDIA,4.2
CEPE,1.3
MRVE,3.3
CBEE,1.3
HAPV,4.1
EQPA,1.9
NATU,2.8
BNBR,1.8
CAML,3.4
COCE,1.9
CEAB,2.9
PMAM,1.3
TUPY,2.9
CSMG,2.9
RAPT,2.6
DTEX,2.6
ITSA,4.6
ENMT,1.7
PFRM,1.2
LCAM,3.8
SAPR,4.1
CEGR,2.4
ALUP,3.4
DASA,1.7
POMO,2.9
B3SA,4.5
ECOR,2.1
CYRE,2.5
MOVI,3.6
ALPA,2.7
YDUQ,4
BMGB,2.3
CEED,1
TRPL,3.2
HYPE,4.3
ENEV,2.6
UNIP,2.3
SLCE,3.2
WEGE,5
FLRY,4.6
AMAR,1.3
BKBR,2.2
CEBR,1.4
PNVL,2.6
ABCB,3.6
CSRN,1.5
CNTO,3.2
LEVE,3.6
SMTO,3.2
TOTS,3.4
BSLI,1.7
BMEB,1.8
BEES,2.3
GRND,4.3
TIET,2.7
VLID,2.9
QUAL,3.6
SMFT,1.2
TEND,3.1
CPRE,1.4
POSI,1.5
EVEN,1.7
CTNM,1.3
ODPV,4.2
TAEE,4.1
CVCB,3.3
BPAR,1.5
ARZZ,4.4
PRIO,3
MEAL,1.5
CESP,1.3
HGTX,3.4
EUCA,1.6
BAZA,1.6
VSPT,1.2
FRIO,1.2
DIRR,2
SGPS,1.7
GEPA,2
FRAS,3
VULC,2.9
PARD,3.8
TGMA,3.2
MULT,4.1
HBOR,1.5
FESA,2.6
SEER,3.1
BRML,2.6
JOPA,1.5
ANIM,1.3
FHER,1.2
CASN,1.1
PTBL,2.4
ENAT,3.1
EEEL,1.5
WLMM,1.7
ALPK,1.3
AALR,2.8
SHUL,2.6
BOBR,1.1
LOGN,1.7
SMLS,2.7
PATI,1.6
STTR,2.3
ELEK,1.4
TASA,1.3
TPIS,1.1
BRIV,2
STBP,2.4
TESA,1.1
LLIS,1.4
RANI,1.1
IGSN,1.3
PINE,1.1
LIQO,1.1
BIDI,3.1
EZTC,3.9
TRIS,3.5
GPCP,1.2
NAFG,1.4
LINX,3.6
ROMI,2.6
JPSA,1.9
IGTA,3.3
VIVA,3.6
ALSO,2.7
RPMG,1
WIZS,3.6
BGIP,1.7
CEDO,1.3
SLED,1.1
JHSF,2.9
CRIV,1.7
OFSA,2.1
CRPG,2.2
KEPL,1.6
MGEL,1
FLEX,1.1
BDLL,1
DOHL,1.9
ETER,1.2
MNDL,1
CGRA,3.3
CCPR,2.1
BTTL,1.1
CTSA,1.6
SNSY,1
MMAQ,1
MILS,1.5
EMAE,1.9
DMMO,1.1
STKF,1.1
CARD,2.8
BRQB,1.4
ODER,1.6
MDNE,1.2
PLAS,1
PEAB,1.3
GFSA,1.2
SHOW,1.4
LWSA,2.6
AGRO,2.5
BRPR,1.8
SCAR,1.7
TCSA,1.4
PRNR,1.6
CTKA,1
RDNI,1.2
TECN,1.5
MTRE,1.9
PTNT,2.5
PDGR,1
EALT,1.9
MTSA,2
INNT,1.7
MNPR,1
CAMB,1.6
GPAR,1.1
TELB,1
BAUH,1.4
MWET,1
CATA,1
SQIA,2.4
NRTQ,1.4
MERC,1.6
RSUL,1.5
CNSY,1.2
JFEN,1.1
UCAS,2
BALM,1.3
TKNO,1.3
IDVL,1.2
TEKA,1
LPSB,1.3
OMGE,2
GSHP,1.1
PTCA,1.1
BBRK,1.1
MTIG,1.1
QUSW,1.1
LOGG,2.8
MSPA,1.1
LUXM,1.7
AHEB,1
ESTR,1
TXRX,1
RNEW,1
APER,1.3
HOOT,1
CTCA,2
INEP,1
SOND,1.1
NUTR,1.3
RSID,1.1
MSRO,1.1
BAHI,1
AZEV,1
APTI,1.1
AFLT,2
CRDE,1
LUPA,1.1
BRGE,1.7
HAGA,1.2
RCSL,1.1
TCNO,1
BMKS,1.5
BMIN,1.4
FIGE,1.2
OSXB,1
DTCY,1
CSAB,1.5
FRTA,1
BIOM,1
